No,DateTime,Device Name,Location,Energy Consumption (kWh)
4,"22, 14/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,
5,"22, 14/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,
7,"22, 14/12/25",GG_L5_WB_AHU,WB-AHU,10207.86
8,"22, 14/12/25",GG_L4_WT_AHU,WT-AHU,12433.85
9,"22, 14/12/25",GG_L3_WB_AHU,WB-AHU,
10,"22, 14/12/25",GG_L4_WB_AHU,WB-AHU,
14,"22, 14/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
18,"22, 14/12/25",GG_L6_WB_AHU,WB-AHU,
25,"22, 14/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,
26,"22, 14/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,14458.19
28,"22, 14/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,
30,"22, 14/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,10017.45
34,"22, 14/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,
35,"22, 14/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,
37,"22, 14/12/25",GG_L2_R Panel-SDP PP,R Panel,66765.75
38,"22, 14/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,156071.48
39,"22, 14/12/25",GG_L2_R Panel-SDP DB LED,R Panel,
40,"22, 14/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,30989.72
52,"23, 14/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
53,"23, 14/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
55,"23, 14/12/25",GG_L5_WB_AHU,WB-AHU,20415.72
56,"23, 14/12/25",GG_L4_WT_AHU,WT-AHU,24867.7
57,"23, 14/12/25",GG_L3_WT_AHU,WT-AHU,22792.44
58,"23, 14/12/25",GG_L3_WB_AHU,WB-AHU,22446.61
59,"23, 14/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
64,"23, 14/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
67,"23, 14/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
69,"23, 14/12/25",GG_L6_WB_AHU,WB-AHU,21726.06
76,"23, 14/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36111.7
77,"23, 14/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28916.93
79,"23, 14/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362202.17
82,"23, 14/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20035.34
86,"23, 14/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,
87,"23, 14/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39591.59
89,"23, 14/12/25",GG_L2_R Panel-SDP PP,R Panel,
90,"23, 14/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
91,"23, 14/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138663.05
92,"23, 14/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61979.88
95,"23, 14/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
109,"00, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
110,"00, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
112,"00, 15/12/25",GG_L5_WB_AHU,WB-AHU,20415.72
113,"00, 15/12/25",GG_L4_WT_AHU,WT-AHU,24867.7
114,"00, 15/12/25",GG_L3_WT_AHU,WT-AHU,22792.44
115,"00, 15/12/25",GG_L3_WB_AHU,WB-AHU,22446.64
116,"00, 15/12/25",GG_L4_WB_AHU,WB-AHU,32059.76
120,"00, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
122,"00, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
124,"00, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
126,"00, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
128,"00, 15/12/25",GG_L6_WB_AHU,WB-AHU,21726.06
135,"00, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36112.54
136,"00, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28917.84
138,"00, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362267.58
142,"00, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20036.12
147,"00, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44381.18
148,"00, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39594.61
150,"00, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133545.12
152,"00, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
