No,Date Time,Device Name,Location,Energy Consumption (kWh)
1,"00, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18122.77
2,"00, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26164.46
3,"00, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56597.38
4,"00, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35541.22
5,"00, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
6,"00, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
7,"00, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
8,"00, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,322895.67
9,"00, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
10,"00, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,202584.2
11,"00, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124732.02
12,"00, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277027.3
13,"00, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118748.78
14,"00, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40551.81
15,"00, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77631.15
16,"00, 01/11/25",GG_L3_WB_AHU,WB-AHU,20141.76
17,"00, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
18,"00, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
19,"00, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
20,"00, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
21,"00, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56420.35
22,"00, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32754.36
23,"00, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
24,"01, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
25,"01, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
26,"01, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
27,"01, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
28,"01, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
29,"01, 01/11/25",GG_L3_WB_AHU,WB-AHU,20141.8
30,"01, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
31,"01, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,202614.3
32,"01, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56424.6
33,"01, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
34,"01, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
35,"01, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
36,"01, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32756.31
37,"01, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26165.37
38,"01, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,322928
39,"01, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18123.58
40,"01, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40555.68
41,"01, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35543.51
42,"01, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118754.85
43,"01, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277071.7
44,"01, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124747.83
45,"01, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56598.13
46,"01, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77635.37
47,"02, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
48,"02, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
49,"02, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
50,"02, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
51,"02, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
52,"02, 01/11/25",GG_L3_WB_AHU,WB-AHU,20141.86
53,"02, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
54,"02, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56427.61
55,"02, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
56,"02, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
57,"02, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32757.64
58,"02, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26166.24
59,"02, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,322971.92
60,"02, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18124.36
61,"02, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40558.82
62,"02, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35545.89
63,"02, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118760.32
64,"02, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277100.92
65,"02, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124759.59
66,"02, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56598.82
67,"02, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77639.94
68,"03, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
69,"03, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
70,"03, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
71,"03, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
72,"03, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
73,"03, 01/11/25",GG_L3_WB_AHU,WB-AHU,20141.9
74,"03, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
75,"03, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
76,"03, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56430.51
77,"03, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,149568.58
78,"03, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
79,"03, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
80,"03, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32760.06
81,"03, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26167.21
82,"03, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323007.61
83,"03, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18125.13
84,"03, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40563.26
85,"03, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35547.09
86,"03, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118765.1
87,"03, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277111.89
88,"03, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124773.78
89,"03, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56599.31
90,"03, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77643.62
91,"04, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
92,"04, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
93,"04, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
94,"04, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
95,"04, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
96,"04, 01/11/25",GG_L3_WB_AHU,WB-AHU,20141.94
97,"04, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
98,"04, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
99,"04, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56433.96
100,"04, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
101,"04, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
102,"04, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
103,"04, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32761.86
104,"04, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26168.12
105,"04, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323037.83
106,"04, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18125.91
107,"04, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40566.23
108,"04, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35549.8
109,"04, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118770.96
110,"04, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277150.83
111,"04, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124786.95
112,"04, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56600.1
113,"04, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77648.64
114,"05, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
115,"05, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
116,"05, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
117,"05, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
118,"05, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
119,"05, 01/11/25",GG_L3_WB_AHU,WB-AHU,20141.99
120,"05, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
121,"05, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56437.69
122,"05, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
123,"05, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
124,"05, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32763.71
125,"05, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26169.01
126,"05, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323061.36
127,"05, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18126.68
128,"05, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40570.25
129,"05, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35552.09
130,"05, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118777.79
131,"05, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277177
132,"05, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124800.84
133,"05, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56600.82
134,"05, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77653
135,"06, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
136,"06, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
137,"06, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
138,"06, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
139,"06, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
140,"06, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.06
141,"06, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
142,"06, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
143,"06, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56441.6
144,"06, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
145,"06, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
146,"06, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
147,"06, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32765.51
148,"06, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26169.94
149,"06, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323082.41
150,"06, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18127.43
151,"06, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40573.38
152,"06, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35554.1
153,"06, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118794.14
154,"06, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277207.75
155,"06, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124813.95
156,"06, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56601.27
157,"06, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77658.88
158,"07, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
159,"07, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
160,"07, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
161,"07, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
162,"07, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
163,"07, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.1
164,"07, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
165,"07, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
166,"07, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56445.69
167,"07, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
168,"07, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
169,"07, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
170,"07, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32767.25
171,"07, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26170.85
172,"07, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323102.27
173,"07, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18128.18
174,"07, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40576.79
175,"07, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35556.11
176,"07, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118810.89
177,"07, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277241.47
178,"07, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124828.15
179,"07, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56602.2
180,"07, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77663.29
181,"08, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
182,"08, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
183,"08, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
184,"08, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
185,"08, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
186,"08, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.14
187,"08, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
188,"08, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56447.71
189,"08, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
190,"08, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
191,"08, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,
192,"08, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26171.79
193,"08, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323139.08
194,"08, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18128.97
195,"08, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40581.11
196,"08, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35558.49
197,"08, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118829.65
198,"08, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277279.81
199,"08, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124841.36
200,"08, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56602.58
201,"08, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77668.2
