No,DateTime,Device Name,Location,Energy Consumption (kWh)
522,"00, 03/10/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,32367.68
539,"00, 03/10/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,16541.7
521,"00, 03/10/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,16397.62
537,"00, 03/10/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,136917.95
533,"00, 03/10/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,186050.81
545,"00, 03/10/25",GG_L2_R Panel-SDP PP,R Panel,109013
527,"00, 03/10/25",GG_L3_WB_AHU,WB-AHU,18501.27
526,"00, 03/10/25",GG_L3_WT_AHU,WT-AHU,19208.22
528,"00, 03/10/25",GG_L4_WB_AHU,WB-AHU,27406.9
525,"00, 03/10/25",GG_L4_WT_AHU,WT-AHU,20976.66
524,"00, 03/10/25",GG_L5_WB_AHU,WB-AHU,17185.82
535,"00, 03/10/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,52289.88
541,"00, 03/10/25",GG_L6_WB_AHU,WB-AHU,18250.98
1217,"00, 04/10/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,32484.3
1216,"00, 04/10/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,16456.04
1239,"00, 04/10/25",GG_L2_R Panel-SDP PP,R Panel,109344.49
1222,"00, 04/10/25",GG_L3_WB_AHU,WB-AHU,18577.86
1221,"00, 04/10/25",GG_L3_WT_AHU,WT-AHU,19283.12
1223,"00, 04/10/25",GG_L4_WB_AHU,WB-AHU,27496.76
1220,"00, 04/10/25",GG_L4_WT_AHU,WT-AHU,21055.56
1219,"00, 04/10/25",GG_L5_WB_AHU,WB-AHU,17250.22
1230,"00, 04/10/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,52452.4
1235,"00, 04/10/25",GG_L6_WB_AHU,WB-AHU,18313.1
1895,"00, 05/10/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,32484.3
1894,"00, 05/10/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,16456.04
1910,"00, 05/10/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,137527.16
1918,"00, 05/10/25",GG_L2_R Panel-SDP PP,R Panel,109681.29
1900,"00, 05/10/25",GG_L3_WB_AHU,WB-AHU,18579.04
1899,"00, 05/10/25",GG_L3_WT_AHU,WT-AHU,19283.12
1901,"00, 05/10/25",GG_L4_WB_AHU,WB-AHU,27496.76
1898,"00, 05/10/25",GG_L4_WT_AHU,WT-AHU,21055.56
1897,"00, 05/10/25",GG_L5_WB_AHU,WB-AHU,17250.22
1908,"00, 05/10/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,52549.88
1914,"00, 05/10/25",GG_L6_WB_AHU,WB-AHU,18313.1
2586,"00, 06/10/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,32484.3
2603,"00, 06/10/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,16600.78
2585,"00, 06/10/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,16456.04
2601,"00, 06/10/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,137833.69
2609,"00, 06/10/25",GG_L2_R Panel-SDP PP,R Panel,110015.82
