No,DateTime,Device Name,Location,Energy Consumption (kWh)
23,14/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,30052.79
29,14/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,43375.12
31,14/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,92969.6
27,14/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,39591.59
48,14/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,38341.8
49,14/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
38,14/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,19219.54
1,14/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362202.17
21,14/12/25,GG_L2_R Panel-SDP DB LED,R Panel,138663.05
10,14/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,156071.48
47,14/12/25,GG_L2_R Panel-SDP PP,R Panel,66765.75
16,14/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,
52,14/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,
42,14/12/25,GG_L3_WB_AHU,WB-AHU,22446.61
53,14/12/25,GG_L3_WT_AHU,WT-AHU,22792.44
4,14/12/25,GG_L4_WB_AHU,WB-AHU,32059.76
32,14/12/25,GG_L4_WT_AHU,WT-AHU,37301.55
22,14/12/25,GG_L5_WB_AHU,WB-AHU,30623.58
45,14/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
18,14/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36111.7
40,14/12/25,GG_L6_WB_AHU,WB-AHU,21726.06
84,15/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,481533.34
65,15/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,694849.19
61,15/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1365938.71
104,15/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,793089.09
85,15/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,729633.77
116,15/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,39032.08
70,15/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,442693.63
93,15/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8705639.47
89,15/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1013850.95
97,15/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,672916.16
