No,DateTime,Device Name,Location,Energy Consumption (kWh)
24,01/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,435165.73
18,01/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,628200.43
48,01/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1301940.33
29,01/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,818047.42
25,01/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,797980.87
6,01/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,337147.02
11,01/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,421340.41
44,01/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7758516.66
40,01/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,898476.83
49,01/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1827200.92
35,01/11/25,GG_L2_R Panel-SDP DB LED,R Panel,2997351.27
22,01/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6102355.97
55,01/11/25,GG_L2_R Panel-SDP PP,R Panel,2853597.7
16,01/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,892996.51
28,01/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1864448.54
30,01/11/25,GG_L3_WB_AHU,WB-AHU,483415.79
17,01/11/25,GG_L3_WT_AHU,WT-AHU,496234.55
43,01/11/25,GG_L4_WB_AHU,WB-AHU,671557.68
4,01/11/25,GG_L4_WT_AHU,WT-AHU,544318.08
51,01/11/25,GG_L5_WB_AHU,WB-AHU,444136.31
14,01/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1355050.32
5,01/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,753774.88
33,01/11/25,GG_L6_WB_AHU,WB-AHU,473319.38
120,02/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,435664.57
114,02/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,628730.73
71,02/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1302313.49
65,02/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,854875.38
