No,DateTime,Device Name,Location,Energy Consumption (kWh)
52,2/10/2025,GG_L1_DWS-SDP LP,DWS-Gudang,49839
47,2/10/2025,GG_L1_DWS-SDP STK,DWS-Gudang,71865.95
19,2/10/2025,GG_L1_PED-SDP LP,BPP-SDP.AHU,156281.7
3,2/10/2025,GG_L1_PED-SDP STK,BPP-SDP.AHU,97845.16
22,2/10/2025,GG_L1_WB-DWS_AHU,WB DWS-AHU,485213.59
37,2/10/2025,GG_L1_WT-B2B_AHU,WT B2B-AHU,16523.86
10,2/10/2025,GG_L1_WT-BPP_AHU,WT BPP-AHU,245809.67
16,2/10/2025,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,907152.36
56,2/10/2025,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,957795
55,2/10/2025,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1115656.06
7,2/10/2025,GG_L2_R Panel-SDP DB LED,R Panel,344135.3
50,2/10/2025,GG_L2_R Panel-SDP DB UPS,R Panel,765950.45
26,2/10/2025,GG_L2_R Panel-SDP PP,R Panel,1633460.16
45,2/10/2025,GG_L3_DSO-SDP Server,DSO-R Monitoring,76102.99
1,2/10/2025,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,212058.73
27,2/10/2025,GG_L3_WB_AHU,WB-AHU,277315.22
15,2/10/2025,GG_L3_WT_AHU,WT-AHU,287925.91
39,2/10/2025,GG_L4_WB_AHU,WB-AHU,356121.48
4,2/10/2025,GG_L4_WT_AHU,WT-AHU,314440.08
46,2/10/2025,GG_L5_WB_AHU,WB-AHU,257619.82
2,2/10/2025,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,783552.91
35,2/10/2025,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,89817.37
6,2/10/2025,GG_L6_WB_AHU,WB-AHU,255373.84
61,3/10/2025,GG_L1_WB-DWS_AHU,WB DWS-AHU,778239.69
82,3/10/2025,GG_L1_WT-B2B_AHU,WT B2B-AHU,33094.16
84,3/10/2025,GG_L1_WT-BPP_AHU,WT BPP-AHU,394250.82
70,3/10/2025,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,822293.12
74,3/10/2025,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1862409.19
62,3/10/2025,GG_L2_R Panel-SDP PP,R Panel,2619716.63
